KB,Description
KB5016595,2022-08 Cumulative Update Preview for .NET Framework 3.5 and 4.8 for Microsoft server operating system version 21H2 for x64 (KB5016595)
KB5016713,2022-09 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB5016713)
KB5017315,"	2022-09 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5017315)"
KB5023705,"2023-03 Cumulative Update for Microsoft server operating system, version 22H2 for x64-based Systems (KB5023705)"
KB5023793,NOT IN MS CATALOG
KB5022507,"2023-02 Cumulative Update for .NET Framework 3.5 and 4.8 for Microsoft server operating system, version 22H2 for x64 (KB5022507)"
KB5023765,2023-03 Security Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB5023765)
KB5023790,2023-03 Servicing Stack Update for Windows Server 2012 R2 for x64-based Systems (KB5023790)
KB5007374,2021-11 Dynamic Update for Microsoft server operating system for x64-based Systems (KB5007374)
KB5023702,2023-03 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5023702)
KB5023789,NOT IN MS CATALOG
KB5025229,2023-04 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5025229)
KB5026362,2023-05 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5026362)
KB5028316,NOT IN MS CATALOG
KB5030505,NOT IN MS CATALOG
KB5029925,2023-09 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows Server 2019 for x64 (KB5029925)
KB5030214,2023-09 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5030214)
KB5031590,NOT IN MS CATALOG
KB5030999,"2023-10 Cumulative Update for .NET Framework 3.5 and 4.8 for Microsoft server operating system, version 22H2 for x64 (KB5030999)"
KB5031364,"2023-10 Cumulative Update for Microsoft server operating system, version 22H2 for x64-based Systems (KB5031364)"
KB5031589,NOT IN MS CATALOG
KB5031005,2023-10 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB5031005)
KB5031361,2023-10 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5031361)
KB5031362,2023-10 Cumulative Update for Windows Server 2016 for x64-based Systems (KB5031362)
KB5030504,2023-09 Servicing Stack Update for Windows Server 2016 for x64-based Systems (KB5030504)
KB5031010,2023-10 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows Server 2019 for x64 (KB5031010)
KB5031000,2023-10 Cumulative Update for .NET Framework 4.8 for Windows Server 2016 for x64 (KB5031000)
KB5032306,2023-11 Exchange Servicing Stack
KB5032196,2023-11 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5032196)
KB5031990,2023-11 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows Server 2019 for x64 (KB5031990)
KB5034770,2024-02 Cumulative Update for Microsoft server operating system version 21H2 for x64-based Systems (KB5034770)
KB5034613,"2024-02 Cumulative Update for .NET Framework 3.5 and 4.8 for Microsoft server operating system, version 22H2 for x64 (KB5034613)"
KB5034619,2024-02 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB5034619)
KB5034768,2024-02 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5034768)
KB5035857,"2024-03 Cumulative Update for Microsoft server operating system, version 22H2 for x64-based Systems (KB5035857)"
KB5035970,NOT IN MS CATALOG
KB5037017,2024-04 Servicing Stack Update for Windows Server 2019 for x64-based Systems (KB5037016)
KB5036896,2024-04 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5036896)
KB5036604,2024-04 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows Server 2019 for x64 (KB5036604)
KB5037016,2024-04 Servicing Stack Update for Windows Server 2016 for x64-based Systems (KB5037016)
KB5036899,2024-04 Cumulative Update for Windows Server 2016 for x64-based Systems (KB5036899)
KB5035963,2024-03 Servicing Stack Update for Windows Server 2019 for x64-based Systems (KB5037016)
KB5037933,2024-05 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows Server 2019 for x64 (KB5037933)
KB5039705,2024-05 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5039705)
KB5037960,NOT IN MS CATALOG
KB5037930,"2024-05 Cumulative Update for .NET Framework 3.5 and 4.8 for Microsoft server operating system, version 22H2 for x64 (KB5037930)"
KB5037782,"2024-05 Cumulative Update for Microsoft server operating system, version 22H2 for x64-based Systems (KB5037782)"
KB5037763,2024-05 Cumulative Update for Windows Server 2016 for x64-based Systems (KB5037763)
KB5039335,2024 Servicing Stack Update for Windows Server 2019 for x64-based Systems (KB5039335)
KB5039217,2024-06 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5039217)
KB5040563,2024 Servicing Stack Update for Windows Server 2019 for x64-based Systems (KB5039335)
KB5039886,2024-07 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows Server 2019 for x64 (KB5039886)
KB5040430,2024-07 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5040430)
